ccode;oldctbank;newctbank;csname;cnamer;oldcopf;newcopf;cregnum;oldcregnr;newcregnr;cdreg;lic;strcuraddr;ogrn
450 000 621;;;АО МС Банк Рус;МС БАНК РУС;АО;НПАО;2 789;;;13.04.1994;;117485, г. Москва, ул. Обручева, дом 30/1, строение 2;1027739094250
470 000 003;;;"БАНК ""МСКБ"" (АО)";МСКБ;АО;НПАО;2 722;;;25.02.1994;;Российская Федерация, 183038, город Мурманск, улица Челюскинцев, дом 17/24;1025100003917
450 038 230;;;"АО ""МСП Банк""";МСП БАНК;АО;НПАО;3 340;;;07.07.1999;;115035,  г. Москва, ул. Садовническая, д. 79;1027739108649
30 000 053;;;"АО ""МТИ Банк""";МТИ БАНК;АО;НПАО;1 052;;;03.12.1990;;119049, г. Москва, ул. Мытная, д. 1, стр. 1, этаж 2, помещение I;1077711000080
450 000 343;;;"ПАО ""МТС-Банк""";МТС-БАНК;ПАО;ПАО;2 268;;;29.01.1993;;115432,  г. Москва, проспект Андропова, д. 18, корп.1;1027739053704
300 000 006;;;"""Муниципальный Камчатпрофитбанк"" (АО)";МУНИЦИПАЛЬНЫЙ КАМЧАТПРОФИТБАНК;АО;НПАО;2 103;;;04.09.1992;;683032, Камчатский край, г.Петропавловск-Камчатский, ул. Артиллерийская, д. 5, корп. 1;1024100000165
470 000 206;НКО;Расчетная НКО;"ООО НКО ""Мурманский расчетный центр""";МУРМАНСКИЙ РАСЧЕТНЫЙ ЦЕНТР;ООО;ООО (Паевое);3 341;-К;-К;08.07.1999;;183071, г. Мурманск, ул. Старостина, 21;1035100260579
450 000 449;;;"Банк ""Навигатор"" (ОАО)";НАВИГАТОР;ОАО;ОАО (АО);2 469;;;24.08.1993;ОТЗ;119421, г. Москва, ул. Новаторов, д. 7А, корп. 2;1027739109276
830 000 001;;;"Банк ""Нальчик"" ООО";НАЛЬЧИК;ООО;ООО (Паевое);695;;;02.11.1990;;360022, Кабардино-Балкарская республика, г.Нальчик, ул. Толстого,77;1020700000496
930 000 004;;;"АО БАНК ""НБТ""";НАРОДНЫЙ БАНК ТУВЫ;АО;НПАО;1 309;;;28.12.1990;ОТЗ;667000, Республика Тыва, г.Кызыл, ул.Тувинских добровольцев, 18;1021700000046
450 000 410;;;"АО ""НДБанк""";НАРОДНЫЙ ДОВЕРИТЕЛЬНЫЙ БАНК;АО;НПАО;2 374;;;09.06.1993;;115054, г. Москва, ул. Дубининская, д. 57, стр. 1;1027739461694
800 000 011;;;"ОАО Банк ""Народный кредит""";НАРОДНЫЙ КРЕДИТ;ОАО;ОАО (АО);2 401;;;28.06.1993;ОТЗ;127006, г. Москва, ул. Долгоруковская, д. 9;1097711000034
450 041 380;;;"""Натиксис Банк АО""";НАТИКСИС БАНК;АО;НПАО;3 390;;;17.01.2002;;127051, г. Москва, Цветной бульвар, дом 2;1037739058180
450 000 624;;;"ОАО ""НББ""";НАЦИОНАЛЬНЫЙ БАНК РАЗВИТИЯ БИЗНЕСА;ОАО;ОАО (АО);2 795;;;19.04.1994;ОТЗ;115054,  г. Москва, ул. Пятницкая, д. 67, стр. 1;1097711000089
240 000 003;;;АО БАНК НБС;НАЦИОНАЛЬНЫЙ БАНК СБЕРЕЖЕНИЙ;АО;НПАО;1 949;;;07.07.1992;;153000, г. Иваново, улица Палехская, дом 2;1083700000471
450 001 062;;;"""Нацинвестпромбанк"" (АО)";НАЦИОНАЛЬНЫЙ ИНВЕСТИЦИОННО-ПРОМЫШЛЕННЫЙ;АО;НПАО;3 077;;;06.09.1994;;119121,  г. Москва, 2-й Неопалимовский переулок, д. 10;1027739043750
450 050 922;НКО — центральный контрагент;НКО ЦК;НКО НКЦ (АО);НАЦИОНАЛЬНЫЙ КЛИРИНГОВЫЙ ЦЕНТР;АО;НПАО;3 466;-ЦК;-ЦК;30.05.2006;;125009, г. Москва, Большой Кисловский пер., д. 13;1067711004481
450 000 299;;;"АКБ ""НРБанк"" (АО)";НАЦИОНАЛЬНЫЙ РЕЗЕРВНЫЙ БАНК;АО;НПАО;2 170;;;26.11.1992;;117292, г. Москва, просп. 60-летия Октября, 10 А;1027700458224
450 041 932;;;"АО Банк ""Национальный стандарт""";НАЦИОНАЛЬНЫЙ СТАНДАРТ;АО;НПАО;3 421;;;02.10.2002;;115093, г. Москва, Партийный пер., д. 1, корп.57, стр.2, 3;1157700006650
450 042 073;;;"""НАЦКОРПБАНК"" (АО)";НАЦКОРПБАНК;АО;НПАО;3 422;;;14.10.2002;ОТЗ;123056, г. Москва, Малый Тишинский переулок, дом 23, стр. 1;1027744002989
220 000 008;;;"ПАО ""НБД-Банк""";НБД-БАНК;ПАО;ПАО;1 966;;;27.07.1992;;603950, г.Нижний Новгород, площадь Горького, 6;1025200000022
