,REGN_GKO,STR,KORR_P_20190701,KORR_M_20190701,VSEGO20190701,REGN_GKO,STR,KORR_P_20180101,KORR_M_20180101,VSEGO20180101,REGN_GKO,STR,KORR_P_20190101,KORR_M_20190101,VSEGO20190101,REGN_GKO,STR,KORR_P_20180701,KORR_M_20180701,VSEGO20180701,REGN_GKO,STR,KORR_P_20190401,KORR_M_20190401,VSEGO20190401,REGN_GKO,STR,KORR_P_20201001,KORR_M_20201001,VSEGO20201001,REGN_GKO,STR,KORR_P_20171001,KORR_M_20171001,VSEGO20171001,REGN_GKO,STR,KORR_P_20180401,KORR_M_20180401,VSEGO20180401,REGN_GKO,STR,KORR_P_20211001,KORR_M_20211001,VSEGO20211001,REGN_GKO,STR,KORR_P_20200101,KORR_M_20200101,VSEGO20200101,REGN_GKO,STR,KORR_P_20210701,KORR_M_20210701,VSEGO20210701,REGN_GKO,STR,KORR_P_20200701,KORR_M_20200701,VSEGO20200701,REGN_GKO,STR,KORR_P_20210101,KORR_M_20210101,VSEGO20210101,REGN_GKO,STR,KORR_P_20181001,KORR_M_20181001,VSEGO20181001,REGN_GKO,STR,KORR_P_20210401,KORR_M_20210401,VSEGO20210401,REGN_GKO,STR,KORR_P_20191001,KORR_M_20191001,VSEGO20191001,REGN_GKO,STR,KORR_P_20200401,KORR_M_20200401,VSEGO20200401
20,1,16.1,0.0,,0.0,1.0,2,0.0,,27523104.0,1.0,2,0.0,,15421488.0,1.0,2,0.0,,24250516.0,1.0,16.1,0.0,,0.0,1.0,16.1,0.0,,0.0,1.0,2,0.0,,59769099.0,1.0,2,0.0,,43951526.0,1.0,16.1,0.0,,0.0,1.0,16.1,0.0,,0.0,1.0,16.1,0.0,,0.0,1.0,16.1,0.0,,0.0,1.0,16.1,0.0,,0.0,1.0,2,0.0,,19117106.0,1.0,16.1,0.0,,0.0,1.0,16.1,0.0,,0.0,1.0,16.1,0.0,,0.0
21,1,16.2,0.0,,0.0,1.0,2.1,0.0,,18430977.0,1.0,2.1,0.0,,15421488.0,1.0,2.1,0.0,,13208842.0,1.0,16.2,0.0,,0.0,1.0,16.2,0.0,,0.0,1.0,2.1,0.0,,50476713.0,1.0,2.1,0.0,,34609659.0,1.0,16.2,0.0,,0.0,1.0,16.2,0.0,,0.0,1.0,16.2,0.0,,0.0,1.0,16.2,0.0,,0.0,1.0,16.2,0.0,,0.0,1.0,2.1,0.0,,19117106.0,1.0,16.2,0.0,,0.0,1.0,16.2,0.0,,0.0,1.0,16.2,0.0,,0.0
22,1,16.3,0.0,,0.0,1.0,2.1.1,0.0,,9092127.0,1.0,2.1.1,0.0,,11973998.0,1.0,2.1.1,0.0,,11041674.0,1.0,16.3,0.0,,3839452.0,1.0,16.3,0.0,,0.0,1.0,2.1.1,0.0,,9285186.0,1.0,2.1.1,0.0,,9341867.0,1.0,16.3,0.0,,0.0,1.0,16.3,0.0,,0.0,1.0,16.3,0.0,,0.0,1.0,16.3,0.0,,0.0,1.0,16.3,0.0,,0.0,1.0,2.1.1,0.0,,11371140.0,1.0,16.3,0.0,,0.0,1.0,16.3,0.0,,0.0,1.0,16.3,0.0,,0.0
23,1,16.4,0.0,,0.0,1.0,20,0.0,,6346937.0,1.0,20,0.0,,45920.0,1.0,20,0.0,,6346937.0,1.0,16.4,0.0,,0.0,1.0,16.4,0.0,,0.0,1.0,20,0.0,,6346937.0,1.0,20,0.0,,6346937.0,1.0,16.4,0.0,,0.0,1.0,16.4,0.0,,0.0,1.0,16.4,,-780392.0,-780392.0,1.0,16.4,0.0,,0.0,1.0,16.4,0.0,,0.0,1.0,20,0.0,,2346937.0,1.0,16.4,0.0,,0.0,1.0,16.4,0.0,,0.0,1.0,16.4,0.0,,0.0
24,1,17,0.0,,1574078.0,1.0,21,0.0,,4438557.0,1.0,21,0.0,,3320972.0,1.0,21,0.0,,4267965.0,1.0,17,0.0,,889309.0,1.0,17,0.0,,4167162.0,1.0,21,0.0,,5414541.0,1.0,21,0.0,,4572233.0,1.0,16.5,0.0,,0.0,1.0,17,0.0,,4060847.0,1.0,16.5,0.0,,0.0,1.0,17,0.0,,4423631.0,1.0,17,0.0,,4439906.0,1.0,21,0.0,,2722275.0,1.0,17,0.0,,4237825.0,1.0,17,0.0,,1303207.0,1.0,17,0.0,,4149201.0
25,1,17.1,0.0,,1563793.0,1.0,21.1,0.0,,2884222.0,1.0,21.1,0.0,,3017016.0,1.0,21.1,0.0,,3012275.0,1.0,17.1,0.0,,879024.0,1.0,17.1,0.0,,4156815.0,1.0,21.1,0.0,,3990853.0,1.0,21.1,0.0,,3292277.0,1.0,16.6,0.0,,12614472.0,1.0,17.1,0.0,,3936271.0,1.0,16.6,0.0,,19814986.0,1.0,17.1,0.0,,4413284.0,1.0,17.1,0.0,,4342261.0,1.0,21.1,0.0,,2711990.0,1.0,17.1,0.0,,4227478.0,1.0,17.1,0.0,,1292860.0,1.0,17.1,0.0,,4138854.0
26,1,17.2,0.0,,0.0,1.0,21.2,0.0,,0.0,1.0,21.2,0.0,,0.0,1.0,21.2,0.0,,0.0,1.0,17.2,0.0,,0.0,1.0,17.2,0.0,,0.0,1.0,21.2,0.0,,0.0,1.0,21.2,0.0,,0.0,1.0,17,0.0,,4541607.0,1.0,17.2,0.0,,0.0,1.0,17,0.0,,4380034.0,1.0,17.2,0.0,,0.0,1.0,17.2,0.0,,0.0,1.0,21.2,0.0,,0.0,1.0,17.2,0.0,,0.0,1.0,17.2,0.0,,0.0,1.0,17.2,0.0,,0.0
27,1,17.3,0.0,,0.0,1.0,21.3,0.0,,1394098.0,1.0,21.3,0.0,,0.0,1.0,21.3,0.0,,1245405.0,1.0,17.3,0.0,,0.0,1.0,17.3,0.0,,62.0,1.0,21.3,0.0,,1413405.0,1.0,21.3,0.0,,1269671.0,1.0,17.1,0.0,,4493322.0,1.0,17.3,0.0,,62.0,1.0,17.1,0.0,,4360613.0,1.0,17.3,0.0,,62.0,1.0,17.3,0.0,,62.0,1.0,21.3,0.0,,0.0,1.0,17.3,0.0,,62.0,1.0,17.3,0.0,,62.0,1.0,17.3,0.0,,62.0
28,1,17.4,0.0,,0.0,1.0,21.4,0.0,,0.0,1.0,21.4,0.0,,0.0,1.0,21.4,0.0,,0.0,1.0,17.4,0.0,,0.0,1.0,17.4,0.0,,0.0,1.0,21.4,0.0,,0.0,1.0,21.4,0.0,,0.0,1.0,17.2,0.0,,0.0,1.0,17.4,0.0,,0.0,1.0,17.2,0.0,,0.0,1.0,17.4,0.0,,0.0,1.0,17.4,0.0,,0.0,1.0,21.4,0.0,,0.0,1.0,17.4,0.0,,0.0,1.0,17.4,0.0,,0.0,1.0,17.4,0.0,,0.0
29,1,18,0.0,,0.0,1.0,22,0.0,,0.0,1.0,22,0.0,,0.0,1.0,22,0.0,,0.0,1.0,18,0.0,,0.0,1.0,18,0.0,,0.0,1.0,22,0.0,,0.0,1.0,22,0.0,,0.0,1.0,17.3,0.0,,62.0,1.0,18,0.0,,0.0,1.0,17.3,0.0,,62.0,1.0,18,0.0,,0.0,1.0,18,0.0,,0.0,1.0,22,0.0,,0.0,1.0,18,0.0,,0.0,1.0,18,0.0,,0.0,1.0,18,0.0,,0.0
